song_id,album_id,artist_id,genre_id,parent_genre_id,gp_genre_id
0,12070,8490,0,0,0
1,19512,7975,134,134,134
2,18953,3492,0,0,0
3,695,2653,0,0,0
4,243,2282,0,0,0
5,7783,3832,0,0,0
6,11704,1655,106,106,106
7,10126,6328,114,114,114
8,10672,4121,0,0,0
9,12302,9197,54,54,54
10,14464,6069,0,0,0
11,125,4656,0,0,0
12,16830,6857,134,134,134
13,1195,7770,0,0,0
14,16607,8460,0,0,0
15,16565,2183,134,134,134
16,2918,1109,0,0,0
17,2465,106,0,0,0
18,19449,7422,0,0,0
19,14770,5888,0,0,0
20,9956,3597,0,0,0
21,7814,6724,0,0,0
22,16764,535,0,0,0
23,12000,1600,0,0,0
24,4293,1450,0,0,0
25,6863,4378,0,0,0
26,10491,6146,134,134,134
27,15202,8301,134,134,134
28,3041,8075,0,0,0
29,8604,4774,0,0,0
30,2452,6671,0,0,0
31,5032,2638,0,0,0
32,6934,1752,0,0,0
33,1625,8801,0,0,0
34,2733,5485,0,0,0
35,4196,39,0,0,0
36,19726,8806,0,0,0
37,13824,2939,0,0,0
38,11199,4234,0,0,0
39,8873,7539,0,0,0
40,9775,6460,0,0,0
41,11089,43,0,0,0
42,3752,2999,106,106,106
43,14034,3677,134,134,134
44,4672,2868,0,0,0
45,1537,1655,0,0,0
46,5250,1583,0,0,0
47,10240,6144,0,0,0
48,3109,6099,0,0,0
49,11723,9118,0,0,0
50,13542,820,0,0,0
51,16083,3901,0,0,0
52,5581,5370,0,0,0
53,9128,4719,0,0,0
54,10782,7643,0,0,0
55,14445,8510,0,0,0
56,13354,3373,106,106,106
57,17833,5999,0,0,0
58,8837,2037,0,0,0
59,475,7088,0,0,0
60,5549,9302,0,0,0
61,16278,6099,0,0,0
62,6963,2862,0,0,0
63,13374,2420,0,0,0
64,4571,4637,0,0,0
65,10287,6625,0,0,0
66,14631,3116,0,0,0
67,1115,3317,0,0,0
68,7618,3371,0,0,0
69,2039,3305,134,134,134
70,2467,1026,0,0,0
71,17783,483,0,0,0
72,11757,4700,0,0,0
73,11223,5205,0,0,0
74,14168,3893,134,134,134
75,568,802,0,0,0
76,14385,8526,0,0,0
77,4490,8065,134,134,134
78,16043,2954,0,0,0
79,18648,7073,0,0,0
80,4172,4683,0,0,0
81,9855,789,0,0,0
82,11211,7747,106,106,106
83,2774,4331,0,0,0
84,17750,2521,0,0,0
85,14748,507,0,0,0
86,10485,447,0,0,0
87,11475,8304,0,0,0
88,12212,6246,134,134,134
89,6992,8078,0,0,0
90,10358,5955,0,0,0
91,12111,7088,0,0,0
92,9931,5955,0,0,0
93,574,1251,0,0,0
94,19803,1163,0,0,0
95,13816,5834,0,0,0
96,10143,5222,0,0,0
