"Step","Yahoo b512 l0.0005 -- qx8h22fz - hr_5","Yahoo b512 l0.0005 -- qx8h22fz - hr_5__MIN","Yahoo b512 l0.0005 -- qx8h22fz - hr_5__MAX","Yahoo b512 l0.0005 -- qx8h22fz - hr_10","Yahoo b512 l0.0005 -- qx8h22fz - hr_10__MIN","Yahoo b512 l0.0005 -- qx8h22fz - hr_10__MAX","Yahoo b512 l0.0005 -- qx8h22fz - hr_20","Yahoo b512 l0.0005 -- qx8h22fz - hr_20__MIN","Yahoo b512 l0.0005 -- qx8h22fz - hr_20__MAX"
"100","0.0007363209343658753","0.0007363209343658753","0.0007363209343658753","0.0007490161228894249","0.0007490161228894249","0.0007490161228894249","0.000733147137234988","0.000733147137234988","0.000733147137234988"
"201","0.0007997968769836232","0.0007997968769836232","0.0007997968769836232","0.0007934492827218484","0.0007934492827218484","0.0007934492827218484","0.0007204519487114384","0.0007204519487114384","0.0007204519487114384"
"302","0.0009394439507426685","0.0009394439507426685","0.0009394439507426685","0.000837882442554272","0.000837882442554272","0.000837882442554272","0.0008124920655071728","0.0008124920655071728","0.0008124920655071728"
"403","0.0013076044179256062","0.0013076044179256062","0.0013076044179256062","0.0012123905039989843","0.0012123905039989843","0.0012123905039989843","0.001136219372857687","0.001136219372857687","0.001136219372857687"
"504","0.0013583851720198046","0.0013583851720198046","0.0013583851720198046","0.0012885616351402819","0.0012885616351402819","0.0012885616351402819","0.0012949092294020567","0.0012949092294020567","0.0012949092294020567"
"605","0.0016503745080614447","0.0016503745080614447","0.0016503745080614447","0.0015043798400406247","0.0015043798400406247","0.0015043798400406247","0.0014631204773390884","0.0014631204773390884","0.0014631204773390884"
"706","0.0019550590326266343","0.0019550590326266343","0.0019550590326266343","0.001764631204773391","0.001764631204773391","0.001764631204773391","0.0016884600736320934","0.0016884600736320934","0.0016884600736320934"
"807","0.001993144598197283","0.001993144598197283","0.001993144598197283","0.0019487114383648597","0.0019487114383648597","0.0019487114383648597","0.001821759553129364","0.001821759553129364","0.001821759553129364"
"908","0.002272438745715374","0.002272438745715374","0.002272438745715374","0.0020185349752443824","0.0020185349752443824","0.0020185349752443824","0.0018408023359146883","0.0018408023359146883","0.0018408023359146883"
"1009","0.0020058397867208327","0.0020058397867208327","0.0020058397867208327","0.0019360162498413102","0.0019360162498413102","0.0019360162498413102","0.001837628538783801","0.001837628538783801","0.001837628538783801"
"1110","0.002145486860479878","0.002145486860479878","0.002145486860479878","0.0019741018154119587","0.0019741018154119587","0.0019741018154119587","0.0019328424527104227","0.0019328424527104227","0.0019328424527104227"
"1211","0.002069315729338581","0.002069315729338581","0.002069315729338581","0.0019867970039355084","0.0019867970039355084","0.0019867970039355084","0.0019709280182810714","0.0019709280182810714","0.0019709280182810714"
"1312","0.0023105243112860226","0.0023105243112860226","0.0023105243112860226","0.002113748889171004","0.002113748889171004","0.002113748889171004","0.002097879903516567","0.002097879903516567","0.002097879903516567"
"1413","0.002208962803097626","0.002208962803097626","0.002208962803097626","0.002113748889171004","0.002113748889171004","0.002113748889171004","0.002040751555160594","0.002040751555160594","0.002040751555160594"
