"Step","Yahoo b512 l0.0005 -- qx8h22fz - contrast_sum","Yahoo b512 l0.0005 -- qx8h22fz - contrast_sum__MIN","Yahoo b512 l0.0005 -- qx8h22fz - contrast_sum__MAX","Yahoo b512 l0.0005 -- qx8h22fz - total_loss","Yahoo b512 l0.0005 -- qx8h22fz - total_loss__MIN","Yahoo b512 l0.0005 -- qx8h22fz - total_loss__MAX"
"0","2007.4656982421875","2007.4656982421875","2007.4656982421875","2366.1220703125","2366.1220703125","2366.1220703125"
"1","1926.7078857421875","1926.7078857421875","1926.7078857421875","2284.859130859375","2284.859130859375","2284.859130859375"
"2","1942.814697265625","1942.814697265625","1942.814697265625","2295.849853515625","2295.849853515625","2295.849853515625"
"3","1978.2684326171875","1978.2684326171875","1978.2684326171875","2361.04296875","2361.04296875","2361.04296875"
"4","1954.4583740234375","1954.4583740234375","1954.4583740234375","2331.846923828125","2331.846923828125","2331.846923828125"
"5","2001.8304443359375","2001.8304443359375","2001.8304443359375","2334.185302734375","2334.185302734375","2334.185302734375"
"6","1971.517578125","1971.517578125","1971.517578125","2354.730224609375","2354.730224609375","2354.730224609375"
"7","1903.1109619140625","1903.1109619140625","1903.1109619140625","2272.467041015625","2272.467041015625","2272.467041015625"
"8","1861.9130859375","1861.9130859375","1861.9130859375","2196.089111328125","2196.089111328125","2196.089111328125"
"9","1819.9605712890625","1819.9605712890625","1819.9605712890625","2183.195068359375","2183.195068359375","2183.195068359375"
"10","1817.2034912109375","1817.2034912109375","1817.2034912109375","2163.192138671875","2163.192138671875","2163.192138671875"
"11","1809.4937744140625","1809.4937744140625","1809.4937744140625","2123.636962890625","2123.636962890625","2123.636962890625"
"12","1810.8055419921875","1810.8055419921875","1810.8055419921875","2157.468994140625","2157.468994140625","2157.468994140625"
"13","1817.7523193359375","1817.7523193359375","1817.7523193359375","2119.66796875","2119.66796875","2119.66796875"
"14","1866.3114013671875","1866.3114013671875","1866.3114013671875","2229.615234375","2229.615234375","2229.615234375"
"15","1885.2801513671875","1885.2801513671875","1885.2801513671875","2238.471435546875","2238.471435546875","2238.471435546875"
"16","1868.3974609375","1868.3974609375","1868.3974609375","2180.815673828125","2180.815673828125","2180.815673828125"
"17","1894.9246826171875","1894.9246826171875","1894.9246826171875","2270.20263671875","2270.20263671875","2270.20263671875"
"18","1878.893798828125","1878.893798828125","1878.893798828125","2226.72119140625","2226.72119140625","2226.72119140625"
"19","1865.3406982421875","1865.3406982421875","1865.3406982421875","2212.26220703125","2212.26220703125","2212.26220703125"
"20","1888.7991943359375","1888.7991943359375","1888.7991943359375","2205.31201171875","2205.31201171875","2205.31201171875"
"21","1878.1175537109375","1878.1175537109375","1878.1175537109375","2214.405517578125","2214.405517578125","2214.405517578125"
"22","1835.637939453125","1835.637939453125","1835.637939453125","2163.512451171875","2163.512451171875","2163.512451171875"
"23","1826.1138916015625","1826.1138916015625","1826.1138916015625","2177.385009765625","2177.385009765625","2177.385009765625"
"24","1815.7210693359375","1815.7210693359375","1815.7210693359375","2172.25341796875","2172.25341796875","2172.25341796875"
"25","1797.8441162109375","1797.8441162109375","1797.8441162109375","2151.87841796875","2151.87841796875","2151.87841796875"
"26","1804.5657958984375","1804.5657958984375","1804.5657958984375","2124.40087890625","2124.40087890625","2124.40087890625"
"27","1769.1844482421875","1769.1844482421875","1769.1844482421875","2115.950927734375","2115.950927734375","2115.950927734375"
"28","1789.6318359375","1789.6318359375","1789.6318359375","2120.447021484375","2120.447021484375","2120.447021484375"
"29","1780.4781494140625","1780.4781494140625","1780.4781494140625","2115.481689453125","2115.481689453125","2115.481689453125"
"30","1781.9765625","1781.9765625","1781.9765625","2130.746826171875","2130.746826171875","2130.746826171875"
"31","1771.1304931640625","1771.1304931640625","1771.1304931640625","2085.41162109375","2085.41162109375","2085.41162109375"
"32","1784.622314453125","1784.622314453125","1784.622314453125","2150.7734375","2150.7734375","2150.7734375"
"33","1752.3094482421875","1752.3094482421875","1752.3094482421875","2054.2734375","2054.2734375","2054.2734375"
"34","1771.2938232421875","1771.2938232421875","1771.2938232421875","2096.001708984375","2096.001708984375","2096.001708984375"
"35","1750.4752197265625","1750.4752197265625","1750.4752197265625","2052.597412109375","2052.597412109375","2052.597412109375"
"36","1725.819580078125","1725.819580078125","1725.819580078125","2099.12548828125","2099.12548828125","2099.12548828125"
"37","1746.3203125","1746.3203125","1746.3203125","2065.738525390625","2065.738525390625","2065.738525390625"
"38","1777.344970703125","1777.344970703125","1777.344970703125","2100.843994140625","2100.843994140625","2100.843994140625"
"39","1753.796875","1753.796875","1753.796875","2064.50439453125","2064.50439453125","2064.50439453125"
"40","1780.8602294921875","1780.8602294921875","1780.8602294921875","2093.354248046875","2093.354248046875","2093.354248046875"
"41","1754.3203125","1754.3203125","1754.3203125","2114.940673828125","2114.940673828125","2114.940673828125"
"42","1733.7314453125","1733.7314453125","1733.7314453125","2077.074951171875","2077.074951171875","2077.074951171875"
"43","1785.0413818359375","1785.0413818359375","1785.0413818359375","2085.9775390625","2085.9775390625","2085.9775390625"
"44","1794.9696044921875","1794.9696044921875","1794.9696044921875","2086.686767578125","2086.686767578125","2086.686767578125"
"45","1773.251953125","1773.251953125","1773.251953125","2104.464111328125","2104.464111328125","2104.464111328125"
"46","1759.4248046875","1759.4248046875","1759.4248046875","2073.888916015625","2073.888916015625","2073.888916015625"
"47","1794.150390625","1794.150390625","1794.150390625","2080.97265625","2080.97265625","2080.97265625"
"48","1817.7291259765625","1817.7291259765625","1817.7291259765625","2131.07763671875","2131.07763671875","2131.07763671875"
"49","1769.71484375","1769.71484375","1769.71484375","2052.3681640625","2052.3681640625","2052.3681640625"
"50","1782.5189208984375","1782.5189208984375","1782.5189208984375","2069.781494140625","2069.781494140625","2069.781494140625"
"51","1781.375244140625","1781.375244140625","1781.375244140625","2087.803466796875","2087.803466796875","2087.803466796875"
"52","1781.5281982421875","1781.5281982421875","1781.5281982421875","2059.35009765625","2059.35009765625","2059.35009765625"
"53","1745.159423828125","1745.159423828125","1745.159423828125","2041.204833984375","2041.204833984375","2041.204833984375"
"54","1781.8480224609375","1781.8480224609375","1781.8480224609375","2096.9072265625","2096.9072265625","2096.9072265625"
"55","1764.9285888671875","1764.9285888671875","1764.9285888671875","2081.876220703125","2081.876220703125","2081.876220703125"
"56","1762.4814453125","1762.4814453125","1762.4814453125","2065.588134765625","2065.588134765625","2065.588134765625"
"57","1762.8179931640625","1762.8179931640625","1762.8179931640625","2105.72412109375","2105.72412109375","2105.72412109375"
